,mse
gru_APO_1h,1.1666260381625282
lstm_tower_APO_1h,1.168560669359656
gru_BIO_1h,7.195117161754181
lstm_tower_BIO_1h,7.200000136142796
gru_CMA_1h,0.2797416198005825
lstm_tower_CMA_1h,0.27953283647413935
gru_DXC_1h,0.046957887029435104
lstm_tower_DXC_1h,0.04694780355218054
gru_ETSY_1h,0.3285563192836786
lstm_tower_ETSY_1h,0.328349128727749
gru_FERG_1h,1.9376400828783857
lstm_tower_FERG_1h,1.9350918741656276
gru_TTD_1h,1.0019286275449506
lstm_tower_TTD_1h,1.002209584552771
gru_VEEV_1h,2.9569679325510987
lstm_tower_VEEV_1h,2.9604368172934845
