y,pred
[[62.15999985]],[[62.56976145]]
[[62.33000183]],[[62.16969173]]
[[62.25999832]],[[62.33968841]]
[[62.72000122]],[[62.26994423]]
[[62.47999954]],[[62.73056922]]
[[62.46500015]],[[62.49102334]]
[[62.09999847]],[[62.47652417]]
[[62.11999893]],[[62.11179823]]
[[62.18999863]],[[62.13179485]]
[[61.91999817]],[[62.20116957]]
[[62.18000031]],[[61.93053264]]
[[62.31000137]],[[62.19028784]]
[[63.10499954]],[[62.32016673]]
[[62.47499847]],[[63.11521537]]
[[62.67499924]],[[62.48521076]]
[[62.77000046]],[[62.68524959]]
[[62.88999939]],[[62.78065872]]
[[63.04000092]],[[62.9012457]]
[[62.70000076]],[[63.05167328]]
[[63.43000031]],[[62.71172346]]
[[63.68000031]],[[63.44209129]]
[[63.86999893]],[[63.69237214]]
[[64.09999847]],[[63.8826361]]
[[64.2559967]],[[64.1132072]]
[[64.36000061]],[[64.26956504]]
[[64.54000092]],[[64.37422076]]
[[63.15000153]],[[64.55459647]]
[[63.77500153]],[[63.16389787]]
[[62.80500031]],[[63.78828868]]
[[62.75999832]],[[62.81741833]]
[[63.25999832]],[[62.77134881]]
[[63.81000137]],[[63.27036933]]
[[63.77000046]],[[63.81930062]]
[[64.02999878]],[[63.77827592]]
[[64.08000183]],[[64.03775435]]
[[64.26999664]],[[64.08820771]]
[[63.93999863]],[[64.27876293]]
[[64.06999969]],[[63.94970627]]
[[64.08999634]],[[64.08030778]]
[[64.25]],[[64.10093103]]
[[63.97999954]],[[64.26147037]]
[[64.40000153]],[[63.99139072]]
[[64.48000336]],[[64.41151738]]
[[64.04000092]],[[64.49187846]]
[[63.63999939]],[[64.05245987]]
[[63.49000168]],[[63.65268517]]
[[63.40999985]],[[63.50234062]]
[[62.93999863]],[[63.4218508]]
[[62.90000153]],[[62.95111156]]
[[62.72000122]],[[62.91036975]]
[[63.06000137]],[[62.72999397]]
[[62.84000015]],[[63.07030717]]
[[62.65000153]],[[62.85082504]]
[[62.52000046]],[[62.66148989]]
[[63.40999985]],[[62.53180735]]
[[63.86000061]],[[63.42222049]]
[[63.90999985]],[[63.87249972]]
[[63.88000107]],[[63.92251732]]
[[63.63999939]],[[63.89217212]]
[[63.61000061]],[[63.65140756]]
[[63.56000137]],[[63.62076975]]
[[62.91999817]],[[63.57044382]]
[[63.34700012]],[[62.92986926]]
[[63.43000031]],[[63.35680204]]
[[63.34999847]],[[63.44020188]]
[[63.09999847]],[[63.36066672]]
[[63.09999847]],[[63.11115893]]
[[63.81000137]],[[63.11155431]]
[[62.81999969]],[[63.82165063]]
[[62.97000122]],[[62.83075304]]
[[62.49000168]],[[62.97999533]]
[[63.15999985]],[[62.49989493]]
[[62.61999893]],[[63.17156573]]
[[62.70000076]],[[62.63332749]]
[[62.81999969]],[[62.71410476]]
[[63.62990189]],[[62.83375321]]
[[63.50999832]],[[63.64280302]]
[[63.97999954]],[[63.52179202]]
[[64.13999939]],[[63.99110161]]
[[63.59999847]],[[64.1509677]]
[[64.11000061]],[[63.61102773]]
[[64.34999847]],[[64.12107986]]
[[63.25999832]],[[64.3607752]]
[[63.33000183]],[[63.27021379]]
[[63.65999985]],[[63.34012409]]
[[63.26499939]],[[63.67020663]]
[[63.15000153]],[[63.27426823]]
[[62.97499847]],[[63.1582577]]
[[62.93000031]],[[62.98288761]]
[[63.49000168]],[[62.93845535]]
[[63.72999954]],[[63.49987633]]
[[63.63999939]],[[63.7414274]]
[[63.70000076]],[[63.65233548]]
[[63.43999863]],[[63.71324382]]
[[63.81999969]],[[63.45409467]]
[[64.33999634]],[[63.83451326]]
[[65.84999847]],[[64.35463679]]
[[65.53500366]],[[65.86462805]]
[[65.88999939]],[[65.54881327]]
[[65.84999847]],[[65.90309244]]
[[65.76499939]],[[65.86233562]]
[[65.52500153]],[[65.77641634]]
[[65.31999969]],[[65.5342966]]
[[66.31500244]],[[65.32772707]]
[[65.90000153]],[[66.32236925]]
[[66.]],[[65.90821732]]
[[66.23000336]],[[66.01074645]]
[[66.65000153]],[[66.24281386]]
[[66.26000214]],[[66.66377867]]
[[66.51999664]],[[66.27315661]]
[[67.54000092]],[[66.53247716]]
[[67.62999725]],[[67.55212833]]
[[67.53500366]],[[67.64244165]]
[[67.69999695]],[[67.54806734]]
[[67.48000336]],[[67.71275661]]
[[67.62999725]],[[67.49141261]]
[[67.66999817]],[[67.6401321]]
[[68.19999695]],[[67.67967617]]
[[68.61000061]],[[68.21037092]]
[[68.66999817]],[[68.62131159]]
[[68.61000061]],[[68.68166567]]
[[69.09500122]],[[68.62235236]]
[[68.80000305]],[[69.10874092]]
[[68.43000031]],[[68.81451168]]
[[67.61000061]],[[68.44435622]]
[[68.19999695]],[[67.62349186]]
[[68.28500366]],[[68.21287778]]
[[68.53500366]],[[68.29752101]]
[[69.48999786]],[[68.54753288]]
[[69.69999695]],[[69.50207883]]
[[69.72000122]],[[69.71067595]]
[[69.33999634]],[[69.72933374]]
[[69.16000366]],[[69.34860948]]
[[69.14499664]],[[69.16858311]]
[[69.23999786]],[[69.15448917]]
[[69.44999695]],[[69.25082486]]
[[69.13999939]],[[69.46237884]]
[[69.08999634]],[[69.15380753]]
[[69.55000305]],[[69.10461348]]
[[68.98999786]],[[69.56460429]]
[[68.59999847]],[[69.00387937]]
[[68.51000214]],[[68.61253089]]
[[68.63500214]],[[68.52363878]]
[[68.31500244]],[[68.65056059]]
[[68.02999878]],[[68.33143787]]
[[65.98999786]],[[68.04598473]]
[[65.31999969]],[[66.00453489]]
[[65.47000122]],[[65.33331261]]
[[65.37000275]],[[65.48250644]]
[[65.77500153]],[[65.38093178]]
[[65.80999756]],[[65.78429457]]
[[65.77999878]],[[65.81778437]]
[[66.51000214]],[[65.7873167]]
[[66.86499786]],[[66.5183973]]
[[67.06999969]],[[66.87491719]]
[[67.01000214]],[[67.08110376]]
[[67.13999939]],[[67.02309607]]
[[67.05999756]],[[67.15455664]]
[[67.08000183]],[[67.07472608]]
[[66.90000153]],[[67.09403954]]
[[68.14499664]],[[66.91287359]]
[[68.44999695]],[[68.15683895]]
[[68.26999664]],[[68.46088579]]
[[68.65499878]],[[68.27886752]]
[[68.19499969]],[[68.6622089]]
[[68.85250092]],[[68.20193007]]
[[67.88999939]],[[68.86101605]]
[[68.51000214]],[[67.90052575]]
[[68.69999695]],[[68.52267379]]
[[68.91000366]],[[68.71404429]]
[[68.48999786]],[[68.92408471]]
[[68.41999817]],[[68.50332154]]
[[67.69999695]],[[68.4325655]]
[[66.09999847]],[[67.71265699]]
[[66.91000366]],[[66.11283899]]
[[67.07499695]],[[66.92297062]]
[[67.66500092]],[[67.08777175]]
[[67.70999908]],[[67.67747015]]
[[67.66500092]],[[67.72185736]]
[[67.58999634]],[[67.67661361]]
[[68.94999695]],[[67.60175706]]
[[69.09999847]],[[68.9626362]]
[[69.01000214]],[[69.11347325]]
[[68.68000031]],[[69.02347428]]
[[68.94000244]],[[68.69306416]]
[[69.43000031]],[[68.95226567]]
[[70.44000244]],[[69.44217921]]
[[70.94000244]],[[70.45271697]]
[[70.51999664]],[[70.95302366]]
[[70.70500183]],[[70.53289479]]
[[70.97000122]],[[70.71776761]]
[[70.99500275]],[[70.98269799]]
[[71.27999878]],[[71.00763734]]
[[70.81999969]],[[71.29242652]]
[[69.91000366]],[[70.83201693]]
[[69.75]],[[69.92218942]]
[[69.56999969]],[[69.76242004]]
[[69.75]],[[69.58262923]]
[[69.77999878]],[[69.76215527]]
