y,pred
[[407.11999512]],[[409.37876189]]
[[406.97000122]],[[407.21257842]]
[[407.74499512]],[[407.05760192]]
[[410.20001221]],[[407.83268972]]
[[407.98001099]],[[410.28434577]]
[[404.58999634]],[[408.05885137]]
[[401.70001221]],[[404.66336607]]
[[400.29000854]],[[401.76968688]]
[[402.22000122]],[[400.35857674]]
[[398.39001465]],[[402.28727577]]
[[399.48498535]],[[398.45790119]]
[[402.13000488]],[[399.55468508]]
[[399.77999878]],[[402.19925229]]
[[398.95999146]],[[399.84588526]]
[[398.77999878]],[[399.02400538]]
[[398.6000061]],[[398.84431213]]
[[398.19000244]],[[398.66598321]]
[[398.29000854]],[[398.26245485]]
[[401.32000732]],[[398.36812777]]
[[408.27999878]],[[401.3999378]]
[[412.]],[[408.35823096]]
[[411.13000488]],[[412.07594287]]
[[410.54998779]],[[411.20485007]]
[[413.50500488]],[[410.6259968]]
[[412.01000977]],[[413.58498997]]
[[412.48001099]],[[412.09256358]]
[[409.57000732]],[[412.56497771]]
[[406.89498901]],[[409.65225228]]
[[402.92001343]],[[406.97181289]]
[[401.52999878]],[[402.98864488]]
[[405.4710083]],[[401.59244011]]
[[410.47000122]],[[405.53015333]]
[[412.17001343]],[[410.53089689]]
[[408.6499939]],[[412.23214093]]
[[411.82000732]],[[408.71159386]]
[[413.13500977]],[[411.87926537]]
[[409.4750061]],[[413.19127735]]
[[411.17498779]],[[409.52875251]]
[[411.41000366]],[[411.2267746]]
[[413.02999878]],[[411.46526694]]
[[411.91000366]],[[413.09334835]]
[[410.23001099]],[[411.98181599]]
[[411.8500061]],[[410.30684101]]
[[411.82998657]],[[411.92959435]]
[[411.38000488]],[[411.91036259]]
[[412.14001465]],[[411.45887704]]
[[413.27999878]],[[412.21783495]]
[[417.23999023]],[[413.35694123]]
[[411.57998657]],[[417.31505243]]
[[410.17001343]],[[411.65353068]]
[[412.32501221]],[[410.2430168]]
[[410.08999634]],[[412.39803816]]
[[408.86999512]],[[410.16266465]]
[[408.79998779]],[[408.94082051]]
[[420.]],[[408.86806136]]
[[421.3999939]],[[420.06928459]]
[[425.01998901]],[[421.47052983]]
[[426.54000854]],[[425.0931702]]
[[424.83999634]],[[426.6156077]]
[[424.51998901]],[[424.9212782]]
[[424.20999146]],[[424.60663405]]
[[420.46499634]],[[424.30137419]]
[[417.03500366]],[[420.5555598]]
[[414.36999512]],[[417.11782482]]
[[415.64001465]],[[414.44513993]]
[[416.22000122]],[[415.70873793]]
[[418.85998535]],[[416.28262754]]
[[420.80999756]],[[418.92200402]]
[[420.8999939]],[[420.87499032]]
[[420.82000732]],[[420.96845794]]
[[419.45999146]],[[420.88935507]]
[[420.41000366]],[[419.52923697]]
[[420.75]],[[420.48225326]]
[[420.70498657]],[[420.82164501]]
[[422.17999268]],[[420.77684177]]
[[426.95999146]],[[422.25261723]]
[[432.3999939]],[[427.03337784]]
[[435.80999756]],[[432.47540422]]
[[437.22000122]],[[435.88707574]]
[[430.51000977]],[[437.2990455]]
[[432.88000488]],[[430.58863643]]
[[433.70001221]],[[432.95926113]]
[[425.36499023]],[[433.77755735]]
[[425.69000244]],[[425.44043342]]
[[426.56500244]],[[425.76647697]]
[[430.48999023]],[[426.6416723]]
[[432.23001099]],[[430.56802789]]
[[431.54998779]],[[432.30399564]]
[[430.13000488]],[[431.6213867]]
[[421.]],[[430.20147491]]
[[423.8999939]],[[421.07470351]]
[[425.]],[[423.97872403]]
[[422.38500977]],[[425.08211993]]
[[423.8999939]],[[422.46692653]]
[[419.79998779]],[[423.97804025]]
[[418.73999023]],[[419.8726502]]
[[426.41000366]],[[418.80958174]]
[[431.07501221]],[[426.48175308]]
[[428.23498535]],[[431.14852134]]
[[429.95001221]],[[428.30896897]]
[[429.2749939]],[[430.02463808]]
[[427.07998657]],[[429.35479268]]
[[426.02999878]],[[427.16322912]]
[[438.43499756]],[[426.11255896]]
[[435.69000244]],[[438.51773388]]
[[432.30999756]],[[435.77209092]]
[[433.45999146]],[[432.39018981]]
[[434.95999146]],[[433.54152575]]
[[432.69500732]],[[435.04647614]]
[[433.33999634]],[[432.78247625]]
[[464.52999878]],[[433.42370353]]
[[454.07000732]],[[464.61317051]]
[[457.]],[[454.14755271]]
[[457.91000366]],[[457.07672977]]
[[460.04000854]],[[457.98577059]]
[[459.91000366]],[[460.11308423]]
[[461.17001343]],[[459.97901874]]
[[459.1000061]],[[461.23788614]]
[[456.98999023]],[[459.17111958]]
[[456.57000732]],[[457.06807174]]
[[455.63000488]],[[456.65386292]]
[[454.60998535]],[[455.71662425]]
[[453.70999146]],[[454.69369773]]
[[451.67999268]],[[453.791591]]
[[454.92999268]],[[451.76146101]]
[[452.48999023]],[[455.01257766]]
[[454.44000244]],[[452.57127428]]
[[455.35998535]],[[454.5193598]]
[[454.07000732]],[[455.44031761]]
[[455.1000061]],[[454.15750744]]
[[454.8500061]],[[455.19218559]]
[[455.32998657]],[[454.94042187]]
[[455.01000977]],[[455.41765485]]
[[454.02999878]],[[455.09497895]]
[[452.98999023]],[[454.11261321]]
[[452.47000122]],[[453.06289444]]
[[452.77999878]],[[452.5296624]]
[[454.92001343]],[[452.83247317]]
[[460.82501221]],[[454.97850801]]
[[455.88000488]],[[460.89564783]]
[[455.20999146]],[[455.95825508]]
[[453.82000732]],[[455.29252892]]
[[455.6499939]],[[453.90411693]]
[[454.17001343]],[[455.73443417]]
[[452.20999146]],[[454.25153328]]
[[446.6499939]],[[452.28961303]]
[[443.17001343]],[[446.72756828]]
[[449.08850098]],[[443.24701148]]
[[448.66500854]],[[449.16826388]]
[[450.97000122]],[[448.74541494]]
[[451.33999634]],[[451.04812767]]
[[450.54998779]],[[451.41666356]]
[[453.89001465]],[[450.62590484]]
[[452.38500977]],[[453.96684957]]
[[454.45001221]],[[452.46356336]]
[[448.82000732]],[[454.53176855]]
[[453.8500061]],[[448.90162359]]
[[454.98999023]],[[453.93808263]]
[[457.35998535]],[[455.08178471]]
[[459.14001465]],[[457.45193937]]
[[464.20999146]],[[459.22958131]]
[[465.6000061]],[[464.2979791]]
[[467.42001343]],[[465.682856]]
[[466.15100098]],[[467.4999902]]
[[464.62319946]],[[466.22888862]]
[[467.]],[[464.70020872]]
[[456.20001221]],[[467.07722227]]
[[460.04000854]],[[456.27640712]]
[[460.14001465]],[[460.11979541]]
[[457.29501343]],[[460.22149873]]
[[455.48999023]],[[457.37595281]]
[[456.29000854]],[[455.56826342]]
[[457.45999146]],[[456.36835291]]
[[449.04000854]],[[457.54222113]]
[[447.76000977]],[[449.12385452]]
[[450.42001343]],[[447.84275436]]
[[453.73001099]],[[450.50230322]]
[[456.94000244]],[[453.81382163]]
[[454.40499878]],[[457.04184371]]
[[456.5]],[[454.52269173]]
[[468.60998535]],[[456.62602429]]
[[467.51000977]],[[468.73324632]]
[[471.3999939]],[[467.61798091]]
[[471.27999878]],[[471.48722299]]
[[472.11999512]],[[471.34830077]]
[[474.04998779]],[[472.17340059]]
[[475.91009521]],[[474.09697682]]
[[474.3999939]],[[475.95941384]]
[[472.23999023]],[[474.45504106]]
