y,pred
[[63.65390015]],[[63.71028349]]
[[63.34000015]],[[63.66446022]]
[[63.32500076]],[[63.35082222]]
[[63.79999924]],[[63.33594624]]
[[63.77999878]],[[63.81126686]]
[[64.04669952]],[[63.79154419]]
[[63.72000122]],[[64.05854135]]
[[63.34000015]],[[63.73195735]]
[[63.44990158]],[[63.35194114]]
[[63.02000046]],[[63.46168695]]
[[63.18000031]],[[63.03149798]]
[[63.52000046]],[[63.19122551]]
[[64.03500366]],[[63.53090108]]
[[63.68999863]],[[64.04581971]]
[[63.56000137]],[[63.7005915]]
[[63.79449844]],[[63.57051509]]
[[63.59000015]],[[63.80576225]]
[[63.43000031]],[[63.60194231]]
[[63.59000015]],[[63.44215746]]
[[65.31999969]],[[63.60185253]]
[[65.23000336]],[[65.33194554]]
[[65.37000275]],[[65.24208122]]
[[65.26999664]],[[65.38255291]]
[[64.66999817]],[[65.28369132]]
[[64.87999725]],[[64.68432969]]
[[65.04000092]],[[64.89442535]]
[[64.30000305]],[[65.053595]]
[[64.09999847]],[[64.31172332]]
[[63.90999985]],[[64.11020536]]
[[64.08000183]],[[63.91977769]]
[[64.51000214]],[[64.08930319]]
[[65.28500366]],[[64.51908738]]
[[65.55000305]],[[65.29443031]]
[[65.36000061]],[[65.55984597]]
[[65.83999634]],[[65.37002927]]
[[65.84999847]],[[65.85059434]]
[[65.81999969]],[[65.8610605]]
[[65.84999847]],[[65.83168684]]
[[66.]],[[65.86216047]]
[[66.08999634]],[[66.01234657]]
[[65.80999756]],[[66.10235186]]
[[66.40000153]],[[65.82219434]]
[[66.43499756]],[[66.41216319]]
[[66.66999817]],[[66.44693671]]
[[66.23000336]],[[66.68141427]]
[[66.26000214]],[[66.24081489]]
[[66.34999847]],[[66.27050533]]
[[65.63500214]],[[66.36020721]]
[[65.54000092]],[[65.64484755]]
[[65.30999756]],[[65.54978813]]
[[65.66000366]],[[65.31989106]]
[[65.90000153]],[[65.67052916]]
[[65.63999939]],[[65.91131671]]
[[65.61000061]],[[65.65171375]]
[[65.88999939]],[[65.62201294]]
[[66.37000275]],[[65.90256225]]
[[66.83000183]],[[66.38301365]]
[[66.94999695]],[[66.84324507]]
[[66.80999756]],[[66.96303351]]
[[66.79000092]],[[66.8222948]]
[[66.66999817]],[[66.80180158]]
[[66.90000153]],[[66.68150343]]
[[66.69000244]],[[66.91105751]]
[[66.66999817]],[[66.70109378]]
[[66.37000275]],[[66.68172647]]
[[66.51869965]],[[66.38201403]]
[[66.54000092]],[[66.53076113]]
[[66.83999634]],[[66.55190762]]
[[66.44999695]],[[66.84933652]]
[[66.87000275]],[[66.45659849]]
[[66.04000092]],[[66.87553698]]
[[66.04000092]],[[66.04660503]]
[[65.65000153]],[[66.04924874]]
[[65.95999908]],[[65.66209186]]
[[66.01999664]],[[65.97420662]]
[[66.91500092]],[[66.03529778]]
[[67.41999817]],[[66.93063163]]
[[67.38999939]],[[67.4352277]]
[[67.38569641]],[[67.40473737]]
[[66.94999695]],[[67.40018644]]
[[67.11000061]],[[66.96403763]]
[[66.90000153]],[[67.12354259]]
[[65.91000366]],[[66.91238337]]
[[66.27999878]],[[65.92087787]]
[[66.16000366]],[[66.29023329]]
[[66.22000122]],[[66.17038305]]
