y,pred
220.78999329,221.27003603
220.50999451,220.82855405
220.94999695,220.54711481
221.60820007,220.98683903
221.00999451,221.64610873
221.08000183,221.04830553
221.13999939,221.11842547
221.1499939,221.17845075
221.46000671,221.18848984
220.69000244,221.4989155
221.23500061,220.72837638
220.74000549,221.27345613
220.36000061,220.77817433
220.44999695,220.39760134
220.25999451,220.48746111
219.69000244,220.29753222
218.05999756,219.72726542
217.55000305,218.09548205
218.625,217.58399764
218.75,218.66020098
218.46000671,218.78760064
218.77999878,218.4994643
218.72999573,218.82086791
218.53999329,218.77143568
219.41000366,218.58116033
219.89500427,219.45156999
220.28999329,219.93726376
220.22999573,220.33277675
220.24000549,220.27238604
220.74000549,220.28133934
216.41000366,220.78061909
215.33000183,216.44510357
215.13999939,215.35969965
214.50999451,215.16740848
213.66999817,214.53797302
213.11999512,213.69988653
211.80000305,213.15225821
211.33500671,211.83361437
210.80999756,211.36977319
210.70500183,210.84586665
210.30999756,210.7423358
210.78999329,210.34856915
210.98500061,210.83027838
210.69999695,211.02686271
212.55499268,210.74235194
211.97000122,212.59922662
212.28999329,212.01443166
212.19000244,212.33375215
212.06500244,212.23218031
212.32000732,212.10524207
212.69999695,212.35886055
210.36000061,212.73834049
210.9750061,210.39546243
211.02999878,211.00892977
210.77000427,211.06383773
211.39500427,210.80446658
211.6000061,211.43115245
211.91000366,211.63791565
211.25500488,211.94934393
210.25,211.294148
211.58000183,210.28724709
211.25,211.61717556
209.875,211.28735656
209.86999512,209.91107121
210.16499329,209.90502955
207.8999939,210.20015134
208.41000366,207.93346571
208.58000183,208.44313523
208.03999329,208.61419309
206.55999756,208.07528799
207.13999939,206.59477724
207.42999268,207.17519542
207.92999268,207.46656322
208.16999817,207.96861731
209.27000427,208.21033625
209.27999878,209.31226827
208.70500183,209.32288694
208.83000183,208.74650718
208.28999329,208.86962295
207.47999573,208.32731448
207.03999329,207.51481283
206.41000366,207.07296645
206.21000671,206.44184458
205.19999695,206.2418429
205.16000366,205.23178728
205.38999939,205.19251081
203.80000305,205.42417655
203.19999695,203.8342922
203.61000061,203.23382558
203.61000061,203.64450051
204.08000183,203.6462557
204.02999878,204.1185788
203.58000183,204.07002032
204.52000427,203.61984713
205.30999756,204.56006021
205.08500671,205.35080021
205.08999634,205.12561872
205.00999451,205.12962604
205.02999878,205.04816456
205.1499939,205.0668298
202.69000244,205.1859974
202.74000549,202.72283857
202.94000244,202.77069268
203.61000061,202.97059516
203.69999695,203.64272333
204.42999268,203.73528612
205.91000366,204.46796944
202.56500244,205.95114571
203.25999451,202.60375561
202.22999573,203.29629252
202.30999756,202.26356494
201.52999878,202.34242694
202.72999573,201.56186019
202.94999695,202.76365775
197.80499268,202.98609444
198.88000488,197.83715901
198.58999634,198.90986258
196.68499756,198.61963072
196.80999756,196.71429418
196.00999451,196.84035904
196.94000244,196.04161264
200.05999756,196.9744932
201.125,200.10087551
201.52999878,201.17167372
