y,pred
[[45.90000153]],[[45.94049095]]
[[45.97999954]],[[45.90934446]]
[[45.55500031]],[[45.98856176]]
[[45.74000168]],[[45.56239149]]
[[46.06999969]],[[45.74678135]]
[[45.70500183]],[[46.07669836]]
[[44.97000122]],[[45.71187609]]
[[45.]],[[44.97693714]]
[[45.35029984]],[[45.00721967]]
[[44.84999847]],[[45.35787828]]
[[44.34000015]],[[44.85845035]]
[[44.11999893]],[[44.34875103]]
[[45.99000168]],[[44.12870902]]
[[45.61000061]],[[45.99898808]]
[[46.22000122]],[[45.61858857]]
[[46.49499893]],[[46.22836966]]
[[46.41999817]],[[46.50292161]]
[[46.54000092]],[[46.42696751]]
[[46.61000061]],[[46.54655345]]
[[46.88000107]],[[46.61642409]]
[[47.02000046]],[[46.88668775]]
[[46.70000076]],[[47.02721192]]
[[46.79000092]],[[46.7079582]]
[[46.83639908]],[[46.79870926]]
[[46.47999954]],[[46.84508605]]
[[46.58000183]],[[46.48876759]]
[[43.73300171]],[[46.58912781]]
[[43.75]],[[43.74216846]]
[[43.47000122]],[[43.75962112]]
[[43.77000046]],[[43.48086243]]
[[44.34500122]],[[43.78171701]]
[[44.95000076]],[[44.35797026]]
[[44.90000153]],[[44.96359149]]
[[44.41999817]],[[44.91237734]]
[[44.52000046]],[[44.42975703]]
[[44.82500076]],[[44.52732008]]
[[44.65000153]],[[44.8308401]]
[[44.68999863]],[[44.65481557]]
[[44.79449844]],[[44.69489656]]
[[44.86999893]],[[44.80015993]]
[[43.79999924]],[[44.87640727]]
[[44.02000046]],[[43.80671555]]
[[43.59999847]],[[44.02676641]]
[[43.56000137]],[[43.60670572]]
[[43.75500107]],[[43.5667776]]
[[43.95999908]],[[43.76274716]]
[[43.83000183]],[[43.96843423]]
[[43.16999817]],[[43.83843783]]
[[43.00999832]],[[43.17796282]]
[[43.13000107]],[[43.01758112]]
[[43.25999832]],[[43.13754043]]
[[42.91500092]],[[43.26773252]]
[[43.06999969]],[[42.92194027]]
[[43.31000137]],[[43.07599869]]
[[44.84000015]],[[43.31551073]]
[[44.99000168]],[[44.84580119]]
[[45.15999985]],[[44.99642548]]
[[45.61999893]],[[45.16727177]]
[[45.56000137]],[[45.62805785]]
[[45.43999863]],[[45.56846382]]
[[45.34000015]],[[45.44846045]]
[[44.59999847]],[[45.34839167]]
[[44.43999863]],[[44.60807227]]
[[44.15999985]],[[44.4476256]]
[[43.93000031]],[[44.16740768]]
[[44.57509995]],[[43.93765202]]
[[44.70999908]],[[44.5827692]]
[[44.81999969]],[[44.71749685]]
[[43.86999893]],[[44.82750772]]
[[43.88000107]],[[43.87736367]]
[[43.59999847]],[[43.88681399]]
[[43.97000122]],[[43.6063669]]
[[43.80319977]],[[43.97654671]]
[[43.95999908]],[[43.81100367]]
[[44.02000046]],[[43.96951638]]
[[43.31000137]],[[44.03050614]]
[[43.65499878]],[[43.32027501]]
[[43.88999939]],[[43.66460747]]
[[43.99000168]],[[43.89870609]]
[[43.84999847]],[[43.99792277]]
[[44.18999863]],[[43.85772822]]
[[44.34000015]],[[44.19779078]]
[[43.26499939]],[[44.34767505]]
[[43.06999969]],[[43.2723438]]
[[42.97999954]],[[43.07721393]]
[[42.87639999]],[[42.98700481]]
[[42.81999969]],[[42.88333438]]
[[42.91500092]],[[42.82712149]]
[[42.59000015]],[[42.92229167]]
[[41.74000168]],[[42.59722395]]
[[42.38000107]],[[41.74698847]]
[[42.43000031]],[[42.38697011]]
[[42.57500076]],[[42.43713121]]
[[42.52159882]],[[42.582537]]
[[42.61000061]],[[42.52896593]]
[[42.27999878]],[[42.61678144]]
[[43.88999939]],[[42.2864335]]
[[44.79309845]],[[43.89688842]]
[[44.45999908]],[[44.8005454]]
[[44.70999908]],[[44.46768349]]
[[44.77000046]],[[44.71802084]]
[[44.22999954]],[[44.7778712]]
[[43.97999954]],[[44.23717905]]
[[43.83000183]],[[43.98673526]]
[[44.00999832]],[[43.83690039]]
[[44.09999847]],[[44.01726852]]
[[44.29999924]],[[44.10780663]]
[[44.72999954]],[[44.30872076]]
[[44.27999878]],[[44.73973486]]
[[44.84999847]],[[44.29001028]]
[[47.10499954]],[[44.85952834]]
[[46.625]],[[47.11403851]]
[[46.61999893]],[[46.63326633]]
[[47.04000092]],[[46.62806327]]
[[46.54999924]],[[47.04837622]]
[[46.72000122]],[[46.55846835]]
[[47.31999969]],[[46.72879609]]
[[46.41999817]],[[47.32930062]]
[[46.50999832]],[[46.42936983]]
[[47.15000153]],[[46.51962829]]
[[46.60499954]],[[47.15927237]]
[[46.88000107]],[[46.6134948]]
[[46.77999878]],[[46.88903004]]
[[46.72999954]],[[46.78952624]]
[[46.18999863]],[[46.73966462]]
[[46.16999817]],[[46.19943071]]
[[46.66999817]],[[46.17883604]]
[[46.56000137]],[[46.67805029]]
[[46.82210159]],[[46.56740489]]
[[47.15999985]],[[46.82882467]]
[[47.02610016]],[[47.16665759]]
[[47.00999832]],[[47.03290666]]
[[46.63000107]],[[47.01721841]]
[[46.88999939]],[[46.63742684]]
[[47.42499924]],[[46.89765242]]
[[47.08940125]],[[47.43290336]]
[[47.06999969]],[[47.09706647]]
[[47.08000183]],[[47.07748045]]
[[47.17369843]],[[47.08754311]]
[[46.03450012]],[[47.18134644]]
[[45.83000183]],[[46.0417189]]
[[45.59000015]],[[45.83682933]]
[[46.09999847]],[[45.59643524]]
[[45.81000137]],[[46.10547341]]
[[45.68000031]],[[45.81543812]]
[[44.90000153]],[[45.68667374]]
[[44.95999908]],[[44.90789847]]
[[44.62990189]],[[44.96857034]]
[[44.59999847]],[[44.63907159]]
[[44.75]],[[44.60933898]]
[[44.57989883]],[[44.75957547]]
[[44.27000046]],[[44.58937031]]
[[44.68999863]],[[44.27903569]]
[[45.375]],[[44.69875914]]
[[45.28499985]],[[45.38360524]]
[[45.13000107]],[[45.293255]]
[[45.54999924]],[[45.13776529]]
[[45.47999954]],[[45.56002943]]
[[45.56000137]],[[45.49235173]]
[[47.5]],[[45.57256504]]
[[47.38000107]],[[47.51146149]]
[[47.13999939]],[[47.38949453]]
[[47.15000153]],[[47.14766021]]
[[47.13850021]],[[47.15704095]]
[[47.04629898]],[[47.14525923]]
[[47.16999817]],[[47.05260102]]
[[47.05720139]],[[47.17574551]]
[[47.59000015]],[[47.06245851]]
[[47.29000092]],[[47.59524571]]
[[47.16999817]],[[47.29576745]]
[[47.71500015]],[[47.17685062]]
[[47.63000107]],[[47.72289786]]
[[47.61999893]],[[47.63860776]]
[[45.93000031]],[[47.62897422]]
[[46.02999878]],[[45.93899962]]
[[46.52000046]],[[46.03918642]]
[[46.93999863]],[[46.52920341]]
[[48.09500122]],[[46.94910315]]
[[48.34000015]],[[48.10383348]]
[[48.72000122]],[[48.34885273]]
[[49.36500168]],[[48.72955481]]
[[48.81000137]],[[49.37552088]]
[[49.49000168]],[[48.82108073]]
[[49.22000122]],[[49.50110909]]
