y,pred
204.6499939,204.98677424
203.91000366,204.69077974
204.63999939,203.94818464
204.57000732,204.67660331
203.1499939,204.60568499
202.67999268,203.1836742
203.3500061,202.71182901
203.5,203.38199617
203.83999634,203.5333987
205.38999939,203.87537735
203.94000244,205.42859521
204.53999329,203.97890851
204.63499451,204.57859549
204.7322998,204.67293007
203.97000122,204.76960665
203.86000061,204.00585614
204.44000244,203.89458009
203.89500427,204.47463765
202.75,203.92961323
202.86999512,202.78346519
203.97000122,202.90291255
203.95500183,204.00445726
203.75,203.99129176
206.94999695,203.78728041
208.5,206.9911448
208.69999695,208.54540024
209.38000488,208.74695291
210.59989929,209.42618018
210.61000061,210.64460977
211.46000671,210.65206134
211.75999451,211.49984165
210.27870178,211.79786567
211.5,210.31304616
209.71000671,211.53283884
210.30999756,209.74055908
210.08999634,210.34002937
209.57000732,210.12054615
209.96000671,209.60125208
209.5,209.99275192
208.57499695,209.53388863
209.08999634,208.60888202
209.2303009,209.124589
210.22000122,209.26612491
210.27000427,210.25814359
209.86500549,210.3098563
209.36999512,209.90494807
209.94999695,209.40860724
209.75,209.98788385
209.3999939,209.78730541
209.40499878,209.43657945
209.99000549,209.44114679
210.0249939,210.02672933
210.3999939,210.06244054
209.94500732,210.43827788
209.41999817,209.98311388
209.55000305,209.45695545
209.22999573,209.5861238
209.21000671,209.26547127
209.77000427,209.24535807
210.24000549,209.80628797
209.30999756,210.27781315
208.27999878,209.34775961
206.13499451,208.31604881
205.74000549,206.16732824
205.72999573,205.76983692
205.57000732,205.75978585
205.82000732,205.60153947
206.16999817,205.85436491
204.94000244,206.20738881
203.05000305,204.97812052
202.95899963,203.08592696
204.58000183,202.99310192
203.53999329,204.61562865
204.44999695,203.57684478
204.,204.488784
203.47999573,204.03950192
203.92999268,203.51882541
204.17999268,203.96837492
203.92999268,204.21832461
204.47000122,203.9679814
202.70500183,204.50813395
201.86000061,202.74113353
202.88999939,201.89344448
202.70500183,202.92315664
202.74000549,202.73899121
203.08000183,202.77525373
203.92999268,203.11667623
203.41999817,203.96853977
203.29750061,203.45895659
202.61000061,203.3358138
202.05000305,202.6465373
200.91999817,202.0844825
200.52000427,200.9521254
195.07600403,200.55075433
194.19000244,195.10113164
194.05999756,194.2111775
194.34500122,194.081397
192.82000732,194.37060011
192.75999451,192.84958663
194.17999268,192.79323762
174.25999451,194.21796562
172.69999695,174.28036998
172.80000305,172.70547836
172.91499329,172.80185957
171.44500732,172.9242434
173.69000244,171.46522545
174.22999573,173.72359123
172.41999817,174.27468981
173.67999268,172.4685867
174.38000488,173.72989514
172.88000488,174.42954136
172.67500305,172.92571221
171.94000244,172.71616555
171.41999817,171.97649964
174.49000549,171.45278334
173.86000061,174.52437366
173.96000671,173.89581272
174.10499573,173.99625418
176.125,174.1405833
178.97000122,176.16156145
178.92999268,179.01006014
178.9750061,178.97133911
181.6000061,179.01480211
181.84210205,181.63939809
181.44000244,181.8801084
182.75,181.47495409
181.76499939,182.78287908
181.69000244,181.79487222
185.0249939,181.71728754
183.41000366,185.05443338
181.23500061,183.4401202
182.41000366,181.26238279
182.88999939,182.43608199
184.36999512,182.91672342
185.16999817,184.39983933
184.55999756,185.20339611
184.82499695,184.59453886
184.50999451,184.85926837
184.19500732,184.54283487
184.09500122,184.22606588
183.11000061,184.12475566
183.25999451,183.13820701
184.36000061,183.28778982
184.74000549,184.38963373
185.96000671,184.77219996
185.49000549,185.995349
186.,185.52641174
186.08000183,186.0364613
184.99000549,186.11564351
183.68499756,185.02316974
185.75999451,183.71455229
186.08999634,185.78962637
186.63999939,186.12145346
187.3999939,186.67378483
187.38499451,187.43586955
188.,187.42147251
191.61500549,188.03647797
190.11500549,191.6547939
189.07000732,190.15477423
189.16999817,189.10645625
188.97999573,189.2026877
188.88999939,189.00978994
188.94999695,188.918358
188.45509338,188.97831388
188.55000305,188.48364295
187.38999939,188.57931786
187.3999939,187.41907661
187.08000183,187.42919204
185.55000305,187.10961009
185.77000427,185.57887217
183.78500366,185.7990661
183.61000061,183.81303197
183.44999695,183.63783328
184.07000732,183.47878741
184.1000061,184.10137738
184.44000244,184.13403542
184.69000244,184.47625963
178.86000061,184.72761808
179.13999939,178.89129098
179.67500305,179.16626956
179.00500488,179.70029412
179.76849365,179.03166537
180.72810364,179.79865313
179.58999634,180.76274445
176.80000305,179.62640266
177.44000244,176.83336075
178.82499695,177.47112437
178.16000366,178.8570453
178.6499939,178.1931839
179.24000549,178.68457315
178.69999695,179.27596561
183.1499939,178.73578881
183.5,183.19003117
182.80999756,183.54307305
183.58500671,182.85216974
184.15499878,183.62470549
184.43499756,184.19195732
183.72999573,184.46950516
184.11000061,183.76151728
184.33500671,184.13957023
184.6000061,184.36381315
183.88000488,184.62905132
183.44000244,183.90875392
183.86000061,183.46809909
184.92999268,183.88840405
186.1000061,184.960458
186.98500061,186.13371737
187.44000244,187.02172535
185.65400696,187.4782459
185.80999756,185.68972265
185.88499451,185.84263253
186.6499939,185.91546274
186.13999939,186.68042759
186.2749939,186.17057738
184.93499756,186.30595976
184.55000305,184.96485125
185.23500061,184.57865059
185.32000732,185.26417817
186.25999451,185.35065427
184.58999634,186.29320672
185.40499878,184.62316245
185.72000122,185.43833274
185.6000061,185.75380762
185.5,185.63402505
185.38000488,185.53382095
184.19999695,185.41331432
184.41000366,184.23153051
184.81500244,184.44053034
185.44999695,184.84592457
185.82000732,185.48260047
185.49000549,185.85446809
185.44000244,185.52504147
185.03999329,185.47465317
184.91499329,185.07342637
184.91999817,184.94723685
185.02999878,184.95159713
183.8500061,185.06164135
184.78999329,183.88069897
183.71000671,184.82116043
182.80000305,183.74090068
183.51499939,182.82985122
183.47999573,183.54522888
183.36000061,183.51130351
182.38000488,183.39236921
181.78999329,182.41205781
181.69000244,181.82102285
181.66999817,181.72047617
182.85499573,181.70073451
183.1000061,182.88790119
182.77999878,183.13515816
182.75999451,182.81593577
183.08500671,182.7955674
183.07499695,183.12003722
182.86000061,183.1093333
182.5,182.89337769
181.94000244,182.53214404
181.47999573,181.97069026
182.13999939,181.50942892
183.08999634,182.16986057
183.53500366,183.12203217
183.04499817,183.56944065
183.49000549,183.08008852
183.82000732,183.52509776
183.44000244,183.85486962
182.88999939,183.47385919
183.1000061,182.92213241
182.69999695,183.13105669
183.31500244,182.73023035
183.33999634,183.34573643
182.875,183.37160124
182.88999939,182.90678498
182.41999817,182.92175291
182.03999329,182.45122361
180.67500305,182.07052232
180.09500122,180.70383925
180.03999329,180.12244598
181.13499451,180.06739747
182.22999573,181.1648387
180.61749268,182.26381244
179.9750061,180.65227579
180.7749939,180.00860214
181.52000427,180.80809815
181.00999451,181.55391915
181.8500061,181.04409865
182.,181.88478134
185.05000305,182.03510631
185.92999268,185.08832485
185.7749939,185.97111213
185.78999329,185.81609499
185.80999756,185.82874103
186.3999939,185.84541516
185.94999695,186.43299011
188.25999451,185.98078132
188.22999573,188.29187736
188.25999451,188.26309641
189.3999939,188.29341396
189.30000305,189.43405035
189.44000244,189.33384195
187.91999817,189.47312607
186.83999634,187.95043383
187.16999817,186.86709152
186.21589661,187.1957662
186.3999939,186.24127037
186.30499268,186.42655239
186.53999329,186.33348233
185.75,186.57083573
186.16459656,185.7819297
186.73500061,186.19761075
186.92500305,186.76949611
186.66000366,186.96071953
187.02999878,186.69585239
186.6499939,187.06573602
187.16999817,186.68484361
183.05499268,187.20447571
181.65499878,183.08462062
181.63999939,181.67945468
182.16999817,181.66239689
182.47000122,182.19434288
182.44000244,182.49848834
181.99000549,182.47247234
183.36999512,182.02467462
183.55499268,183.40715952
182.86999512,183.59366611
181.58999634,182.90798808
180.5249939,181.62493968
180.44000244,180.55605233
180.33000183,180.46870837
179.27000427,180.35825159
180.38499451,179.29806527
181.82499695,180.41497518
182.19500732,181.85887533
181.94000244,182.2322302
183.21000671,181.97823191
183.36999512,183.2488907
182.53999329,183.40842737
182.24499512,182.57602317
183.17999268,182.27804744
184.69999695,183.21184295
185.53999329,184.73322892
186.57000732,185.57542785
187.02999878,186.60747625
188.93499756,187.06812375
187.66549683,188.97418935
187.02999878,187.70262927
187.3052063,187.06328837
187.92999268,187.33537911
187.13999939,187.95911728
186.78999329,187.16834345
184.24499512,186.81778402
184.9750061,184.27013465
184.75,184.99958785
185.30999756,184.77572393
184.97000122,185.33859117
184.69000244,185.00113602
184.1499939,184.72263817
185.80000305,184.18283536
187.33999634,185.83468644
189.25900269,187.37796676
188.92999268,189.30104098
188.67500305,188.97299039
187.94999695,188.71591004
186.52999878,187.98662695
190.52999878,186.56113698
191.22999573,190.56195022
192.38999939,191.26494473
192.75,192.42816556
192.66000366,192.78937713
193.21000671,192.69814947
192.42999268,193.2462432
190.99499512,192.46317315
190.91000366,191.02404899
191.8999939,190.93634064
190.49000549,191.92682132
190.59500122,190.51724963
191.27999878,190.62324659
191.66999817,191.31040073
193.86000061,191.70296191
193.30000305,193.89726607
192.19999695,193.33923979
192.05499268,192.23775525
192.99000549,192.0900946
193.22999573,193.02398421
193.52000427,193.2639368
195.78999329,193.5544447
195.8999939,195.82721765
194.6217041,195.9390359
194.08999634,194.65922183
193.3500061,194.12431695
191.56500244,193.38083718
191.86000061,191.59200069
189.53999329,191.88573176
189.33999634,189.56430543
189.53999329,189.36453957
188.57000732,189.56681982
188.76499939,188.59905479
188.61999512,188.79659788
189.13000488,188.65377921
182.75,189.16604968
182.82000732,182.78043911
184.5249939,182.8459277
184.44000244,184.55179392
184.25999451,184.47045576
185.3999939,184.29415773
185.13499451,185.43801452
180.8999939,185.17485879
184.42500305,180.93510098
186.68499756,184.45960565
185.72999573,186.72310854
185.55999756,185.76992586
185.68499756,185.59944804
185.47000122,185.72266644
187.86000061,185.5053174
187.63499451,187.8960707
186.85499573,187.67154425
187.47999573,186.89019208
188.57000732,187.5139437
187.98500061,188.60405643
185.53999329,188.01846648
187.88999939,185.56988174
187.45500183,187.91963645
187.50999451,187.4852679
184.86999512,187.54125439
183.50999451,184.8991021
183.19900513,183.53589512
182.25999451,183.22331196
185.10499573,182.28417268
184.75999451,185.13407903
184.32000732,184.79398682
184.88000488,184.35657669
185.46000671,184.91779215
185.50999451,185.49835953
185.33000183,185.54800936
187.27999878,185.36673568
187.53500366,187.31739541
186.6499939,187.5729158
187.28999329,186.68635942
187.13999939,187.32486132
186.69000244,187.17328137
186.72000122,186.7215589
185.25500488,186.75046025
184.88999939,185.28349615
185.63999939,184.91711278
185.56799316,185.66797034
185.5249939,185.597761
185.52000427,185.55653727
185.32000732,185.55283435
187.88999939,185.35334947
189.38999939,187.92640842
190.24000549,189.43030718
190.08999634,190.28287471
190.69000244,190.13229002
191.21499634,190.73023741
190.30999756,191.25283894
190.6000061,190.34427294
190.03999329,190.63155817
188.70500183,190.06929622
188.74000549,188.73180228
188.26499939,188.76579491
187.94500732,188.29091818
188.19000244,187.97190288
192.03500366,188.21886167
192.49000549,192.07036591
192.35499573,192.53100102
192.3999939,192.39796391
191.53999329,192.44171495
191.94000244,191.57780602
192.88000488,191.97444912
191.52000427,192.91327229
191.82000732,191.55148389
192.36579895,191.85058371
192.52999878,192.39683211
192.56199646,192.56209913
192.55000305,192.59502753
192.58999634,192.58350692
193.31500244,192.62364204
193.74000549,193.3494071
193.33000183,193.7753793
193.30999756,193.36527557
193.52000427,193.34458496
193.25,193.55404387
